tie,x,y
2_1109,33739,326538
2_1110,33739,362820
2_1111,33739,399102
2_1112,33739,435384
2_1113,33739,471666
2_1114,33739,507948
2_1115,33739,544230
2_1116,33739,580512
2_1117,33739,616794
2_1118,33739,653076
2_1119,33739,689358
2_1120,33739,725640
2_1121,33739,761922
2_1122,33739,798204
2_1123,33739,834486
2_1124,33739,870768
2_1125,33739,907050
2_1126,33739,943332
2_1127,33739,979614
2_1128,33739,1015896
2_1129,33739,1052178
2_1130,33739,1088460
2_1131,33739,1124742
2_1132,33739,1161024
2_1133,33739,1197306
2_1134,33739,1233588
2_1135,33739,1269870
2_1136,33739,1306152
2_1137,33739,1342434
2_1138,33739,1378716
2_1139,33739,1414998
2_1140,33739,1451280
2_1141,33739,1487562
2_1142,33739,1523844
2_1143,33739,1560126
2_1144,33739,1596408
2_1145,33739,1632690
2_1146,33739,1668972
2_1147,33739,1705254
2_1148,33739,1741536
2_1149,33739,1777818
